event_id,event_name,date,location,fight_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_name,r_id,r_kd,r_sig_str_landed,r_sig_str_atmpted,r_sig_str_acc,r_total_str_landed,r_total_str_atmpted,r_total_str_acc,r_td_landed,r_td_atmpted,r_td_acc,r_sub_att,r_ctrl,r_head_landed,r_head_atmpted,r_head_acc,r_body_landed,r_body_atmpted,r_body_acc,r_leg_landed,r_leg_atmpted,r_leg_acc,r_dist_landed,r_dist_atmpted,r_dist_acc,r_clinch_landed,r_clinch_atmpted,r_clinch_acc,r_ground_landed,r_ground_atmpted,r_ground_acc,r_landed_head_per,r_landed_body_per,r_landed_leg_per,r_landed_dist_per,r_landed_clinch_per,r_landed_ground_per,r_nick_name,r_wins,r_losses,r_draws,r_height,r_weight,r_reach,r_stance,r_dob,r_splm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_avg_acc,r_td_def,r_sub_avg,b_name,b_id,b_kd,b_sig_str_landed,b_sig_str_atmpted,b_sig_str_acc,b_total_str_landed,b_total_str_atmpted,b_total_str_acc,b_td_landed,b_td_atmpted,b_td_acc,b_sub_att,b_ctrl,b_head_landed,b_head_atmpted,b_head_acc,b_body_landed,b_body_atmpted,b_body_acc,b_leg_landed,b_leg_atmpted,b_leg_acc,b_dist_landed,b_dist_atmpted,b_dist_acc,b_clinch_landed,b_clinch_atmpted,b_clinch_acc,b_ground_landed,b_ground_atmpted,b_ground_acc,b_landed_head_per,b_landed_body_per,b_landed_leg_per,b_landed_dist_per,b_landed_clinch_per,b_landed_ground_per,b_nick_name,b_wins,b_losses,b_draws,b_height,b_weight,b_reach,b_stance,b_dob,b_splm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_avg_acc,b_td_def,b_sub_avg,winner,winner_id
9d61d8cb1c354867,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,"Shanghai, China",6cd4457edf4089f9,Welterweight,0,U-DEC,3,300,3.0,Matt Wynne,Cam Nelson,e0664abaa023fd6f,0.0,39.0,79.0,49.37,72.0,116.0,62.07,0.0,1.0,0.0,0.0,70.0,12.0,41.0,29.27,13.0,21.0,61.9,14.0,17.0,82.35,34.0,74.0,45.95,5.0,5.0,100.0,0.0,0.0,0.0,30.76923076923077,33.33333333333333,35.8974358974359,87.17948717948718,12.82051282051282,0.0,Ding Meng,35,11,0,187.96,77.11,185.42,orthodox,1994-09-27,,,,,,,,,Ding Meng,34d4cae19105eb68,0.0,41.0,70.0,58.57,47.0,80.0,58.75,4.0,11.0,36.36,0.0,394.0,32.0,57.0,56.14,1.0,2.0,50.0,8.0,11.0,72.73,15.0,30.0,50.0,1.0,2.0,50.0,25.0,38.0,65.79,78.04878048780488,2.4390243902439024,19.51219512195122,36.58536585365854,2.4390243902439024,60.97560975609756,Cam Nelson,8,1,0,180.34,77.11,182.88,orthodox,1998-07-28,,,,,,,,,Cam Nelson,e0664abaa023fd6f
9d61d8cb1c354867,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,"Shanghai, China",6206c62fc8f0b71b,Women's Strawweight,0,KO/TKO Kick,1,186,3.0,Steve Perceval,Xiong Jingnan,2cdb479a0ef0ee1d,0.0,16.0,42.0,38.1,16.0,44.0,36.36,0.0,0.0,0.0,0.0,0.0,7.0,28.0,25.0,5.0,10.0,50.0,4.0,4.0,100.0,12.0,37.0,32.43,4.0,5.0,80.0,0.0,0.0,0.0,43.75,31.25,25.0,75.0,25.0,0.0,Xiong Jingnan,19,4,0,162.56,52.16,160.02,switch,1988-01-12,,,,,,,,,Julia Polastri,abb68e3c7ca128f2,1.0,16.0,25.0,64.0,16.0,25.0,64.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,52.94,6.0,6.0,100.0,1.0,2.0,50.0,13.0,21.0,61.9,3.0,4.0,75.0,0.0,0.0,0.0,56.25,37.5,6.25,81.25,18.75,0.0,Julia Polastri,15,6,0,157.48,52.16,160.02,orthodox,1998-03-05,,,,,,,,,Julia Polastri,abb68e3c7ca128f2
9d61d8cb1c354867,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,"Shanghai, China",ab5922e10699e869,Bantamweight,0,KO/TKO Punch,2,53,3.0,Vitor Ribeiro,Hector Santiago,a1ad35b98a9136e5,0.0,32.0,59.0,54.24,32.0,59.0,54.24,0.0,1.0,0.0,0.0,1.0,20.0,42.0,47.62,3.0,7.0,42.86,9.0,10.0,90.0,31.0,57.0,54.39,1.0,2.0,50.0,0.0,0.0,0.0,62.5,9.375,28.125,96.875,3.125,0.0,Lawrence Lui,8,2,0,170.18,61.24,182.88,orthodox,1996-08-04,,,,,,,,,Lawrence Lui,8e4902b4a8045070,1.0,30.0,111.0,27.03,32.0,113.0,28.32,0.0,0.0,0.0,0.0,7.0,24.0,99.0,24.24,6.0,12.0,50.0,0.0,0.0,0.0,26.0,105.0,24.76,0.0,0.0,0.0,4.0,6.0,66.67,80.0,20.0,0.0,86.66666666666667,0.0,13.333333333333334,Hector Santiago,7,1,0,165.1,61.24,172.72,orthodox,1993-03-21,,,,,,,,,Hector Santiago,a1ad35b98a9136e5
9d61d8cb1c354867,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,"Shanghai, China",636867bbc9f96739,Bantamweight,0,KO/TKO Punches,1,60,3.0,Herb Dean,Xiao Long,86bace9e4ad85542,0.0,4.0,7.0,57.14,4.0,7.0,57.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,2.0,4.0,50.0,4.0,7.0,57.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,Xiao Long,27,12,0,172.72,61.24,177.8,orthodox,1998-04-13,,,,,,,,,Francesco Nuzzi,874cfc98877daecd,1.0,11.0,20.0,55.0,12.0,21.0,57.14,0.0,0.0,0.0,0.0,2.0,9.0,17.0,52.94,2.0,3.0,66.67,0.0,0.0,0.0,6.0,13.0,46.15,3.0,3.0,100.0,2.0,4.0,50.0,81.81818181818183,18.181818181818183,0.0,54.54545454545454,27.27272727272727,18.181818181818183,Francesco Nuzzi,12,2,0 (2 NC),167.64,61.24,180.34,southpaw,1996-08-28,,,,,,,,,Francesco Nuzzi,874cfc98877daecd
9d61d8cb1c354867,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,"Shanghai, China",8a980234dab7ae43,Featherweight,0,S-DEC,3,300,3.0,Marc Goddard,Jack Jenkins,a9da3158dd2c2b5a,0.0,43.0,95.0,45.26,72.0,130.0,55.38,0.0,5.0,0.0,1.0,287.0,18.0,62.0,29.03,9.0,9.0,100.0,16.0,24.0,66.67,32.0,80.0,40.0,9.0,13.0,69.23,2.0,2.0,100.0,41.86046511627907,20.930232558139537,37.2093023255814,74.4186046511628,20.930232558139537,4.651162790697675,Jack Jenkins,14,5,0,170.18,65.77,172.72,switch,1993-11-03,,,,,,,,,Sean Woodson,4682bc59d5f55145,0.0,58.0,129.0,44.96,130.0,204.0,63.73,0.0,2.0,0.0,0.0,71.0,33.0,88.0,37.5,10.0,21.0,47.62,15.0,20.0,75.0,52.0,121.0,42.98,6.0,8.0,75.0,0.0,0.0,0.0,56.896551724137936,17.24137931034483,25.86206896551724,89.65517241379311,10.344827586206897,0.0,Sean Woodson,14,2,1,187.96,65.77,198.12,orthodox,1992-06-07,,,,,,,,,Sean Woodson,4682bc59d5f55145
9d61d8cb1c354867,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,"Shanghai, China",ec5281a72f09d8ac,Flyweight,0,SUB Rear Naked Choke,1,254,3.0,Matt Wynne,Rei Tsuruya,2f43a3e82661fa99,0.0,39.0,67.0,58.21,71.0,101.0,70.3,2.0,4.0,50.0,1.0,238.0,39.0,67.0,58.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,67.0,58.21,100.0,0.0,0.0,0.0,0.0,100.0,Rei Tsuruya,12,1,0,167.64,56.7,172.72,orthodox,2002-06-22,,,,,,,,,Kevin Borjas,34b96d52db1d26e6,0.0,0.0,0.0,0.0,1.0,3.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin Borjas,11,6,0,165.1,56.7,172.72,orthodox,1997-12-06,,,,,,,,,Rei Tsuruya,2f43a3e82661fa99
9d61d8cb1c354867,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,"Shanghai, China",80f7f5405d5ffca0,Flyweight,0,SUB Guillotine Choke,3,183,3.0,Steve Perceval,Namsrai Batbayar,e1f8beeb6d2d871a,0.0,51.0,141.0,36.17,51.0,141.0,36.17,0.0,1.0,0.0,0.0,8.0,24.0,101.0,23.76,9.0,12.0,75.0,18.0,28.0,64.29,49.0,139.0,35.25,2.0,2.0,100.0,0.0,0.0,0.0,47.05882352941176,17.647058823529413,35.294117647058826,96.07843137254902,3.92156862745098,0.0,Namsrai Batbayar,10,2,0,162.56,56.7,172.72,orthodox,2000-12-29,,,,,,,,,Andre Lima,b1f21ce050035d58,0.0,47.0,77.0,61.04,47.0,77.0,61.04,0.0,0.0,0.0,1.0,13.0,23.0,49.0,46.94,9.0,10.0,90.0,15.0,18.0,83.33,47.0,77.0,61.04,0.0,0.0,0.0,0.0,0.0,0.0,48.93617021276596,19.148936170212767,31.91489361702128,100.0,0.0,0.0,Andre Lima,12,1,0,170.18,56.7,170.18,orthodox,1999-02-04,,,,,,,,,Andre Lima,b1f21ce050035d58
9d61d8cb1c354867,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,"Shanghai, China",1fe768d599c159dc,Flyweight,0,KO/TKO Punch,2,148,3.0,Vitor Ribeiro,Bilal Hasan,5182316da3c1d891,1.0,53.0,129.0,41.09,56.0,137.0,40.88,1.0,1.0,100.0,0.0,63.0,28.0,81.0,34.57,20.0,37.0,54.05,5.0,11.0,45.45,38.0,111.0,34.23,8.0,10.0,80.0,7.0,8.0,87.5,52.83018867924528,37.735849056603776,9.433962264150944,71.69811320754717,15.09433962264151,13.20754716981132,Bilal Hasan,10,0,0 (1 NC),170.18,56.7,177.8,switch,2001-07-16,,,,,,,,,Nilson Rojas,bf60dd3256801649,0.0,33.0,66.0,50.0,37.0,70.0,52.86,0.0,0.0,0.0,0.0,3.0,17.0,46.0,36.96,13.0,17.0,76.47,3.0,3.0,100.0,28.0,59.0,47.46,5.0,7.0,71.43,0.0,0.0,0.0,51.51515151515152,39.39393939393939,9.090909090909092,84.84848484848484,15.151515151515152,0.0,Nilson Rojas,9,1,0,167.64,56.7,160.02,orthodox,1999-04-21,,,,,,,,,Bilal Hasan,5182316da3c1d891
9d61d8cb1c354867,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,"Shanghai, China",f894989058f2bb05,Light Heavyweight,0,KO/TKO Punch,1,266,3.0,Herb Dean,Liu Ce,a9936818d709e2d7,2.0,59.0,82.0,71.95,60.0,83.0,72.29,0.0,0.0,0.0,0.0,4.0,42.0,62.0,67.74,9.0,12.0,75.0,8.0,8.0,100.0,54.0,75.0,72.0,5.0,7.0,71.43,0.0,0.0,0.0,71.1864406779661,15.254237288135592,13.559322033898304,91.52542372881356,8.47457627118644,0.0,Liu Ce,4,1,0,190.5,92.99,195.58,orthodox,1996-09-04,,,,,,,,,Levi Rodrigues Jr.,9ac4e43ed56429ed,0.0,28.0,57.0,49.12,28.0,57.0,49.12,0.0,2.0,0.0,0.0,44.0,23.0,51.0,45.1,2.0,2.0,100.0,3.0,4.0,75.0,27.0,56.0,48.21,1.0,1.0,100.0,0.0,0.0,0.0,82.14285714285714,7.142857142857142,10.714285714285714,96.42857142857144,3.571428571428571,0.0,Levi Rodrigues Jr.,5,2,0 (1 NC),182.88,92.99,193.04,orthodox,1996-10-15,,,,,,,,,Liu Ce,a9936818d709e2d7
9d61d8cb1c354867,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,"Shanghai, China",48a5d9c4592d2f2a,Flyweight,0,U-DEC,3,300,3.0,Marc Goddard,Alex Perez,ab2b4ff41d6ebe0f,0.0,10.0,43.0,23.26,52.0,88.0,59.09,4.0,8.0,50.0,0.0,440.0,6.0,31.0,19.35,2.0,7.0,28.57,2.0,5.0,40.0,10.0,41.0,24.39,0.0,0.0,0.0,0.0,2.0,0.0,60.0,20.0,20.0,100.0,0.0,0.0,Alex Perez,26,11,0 (1 NC),167.64,56.7,165.1,orthodox,1992-03-21,,,,,,,,,Sumudaerji,3cf18e01cb6cbde3,0.0,41.0,80.0,51.25,85.0,126.0,67.46,0.0,2.0,0.0,0.0,14.0,18.0,50.0,36.0,5.0,9.0,55.56,18.0,21.0,85.71,39.0,78.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,43.90243902439025,12.195121951219512,43.90243902439025,95.1219512195122,4.878048780487805,0.0,Sumudaerji,20,7,0 (1 NC),172.72,56.7,182.88,southpaw,1996-01-20,,,,,,,,,Sumudaerji,3cf18e01cb6cbde3
