Result_1,Result_2,Winner,Fighter_1_Id,Fighter_2_Id,Fighter_1_Name,Fighter_2_Name,Time Format,Referee,Method Details,Kd_1,Kd_2,Sig. Str._1,Sig. Str._2,Sig. Str. %_1,Sig. Str. %_2,Total Str._1,Total Str._2,Td_1,Td_2,Td %_1,Td %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_1,Head_2,Body_1,Body_2,Leg_1,Leg_2,Distance_1,Distance_2,Clinch_1,Clinch_2,Ground_1,Ground_2,Fight_Id,Event_Id,Event_Name,Date,Location,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Fighter_1_nick_name,Fighter_1_wins,Fighter_1_losses,Fighter_1_draws,Fighter_1_height,Fighter_1_weight,Fighter_1_reach,Fighter_1_stance,Fighter_1_dob,Fighter_2_nick_name,Fighter_2_wins,Fighter_2_losses,Fighter_2_draws,Fighter_2_height,Fighter_2_weight,Fighter_2_reach,Fighter_2_stance,Fighter_2_dob
W,L,Manel Kape,5d1b7e3dd9e11074,98aa60cf58071fd6,Manel Kape,Kyoji Horiguchi,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground,1,0,19 of 56,27 of 53,33%,50%,47 of 88,53 of 89,0 of 0,2 of 5,---,40%,0,0,0,0,0:10,4:00,11 of 47,21 of 43,2 of 3,4 of 5,6 of 6,2 of 5,13 of 46,20 of 42,0 of 1,0 of 1,6 of 9,7 of 10,33afdd7ad43a2756,c8661e204c66f325,UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",win,Manel Kape,Kyoji Horiguchi,1,0,19,27,0,2,0,0,Flyweight,KO/TKO Punches,3,2:42,Manel Kape,23,7,0,"5' 5""",125 lbs.,"68""",southpaw,"nov 14, 1993",Kyoji Horiguchi,36,6,0 (1 NC),"5' 4""",125 lbs.,"63""",orthodox,"oct 12, 1990"
L,W,Navajo Stirling,cd13728ae1151f46,b4b496ec2197ee3e,Ion Cutelaba,Navajo Stirling,3 Rnd (5-5-5),Kerry Hatley,Punches to Head On Ground,0,0,19 of 48,52 of 70,39%,74%,58 of 88,59 of 77,5 of 7,0 of 1,71%,0%,1,0,2,2,3:01,1:53,10 of 36,38 of 54,3 of 4,11 of 12,6 of 8,3 of 4,14 of 41,31 of 44,2 of 4,1 of 2,3 of 3,20 of 24,afc021700481ac4e,c8661e204c66f325,UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",win,Navajo Stirling,Ion Cutelaba,0,0,52,19,0,5,0,1,Light Heavyweight,KO/TKO Punches,2,3:23,Ion Cutelaba,20,12,1 (1 NC),"6' 1""",205 lbs.,"75""",southpaw,"dec 14, 1993",Navajo Stirling,10,0,0,"6' 4""",205 lbs.,"79""",orthodox,"nov 07, 1997"
L,W,Christian Rodriguez,41cc71cbf210e0fe,5ec591b78349ba7e,Hyder Amil,Christian Rodriguez,3 Rnd (5-5-5),Mike Beltran,Guillotine Choke On Ground,0,1,23 of 48,20 of 38,47%,52%,23 of 48,23 of 43,0 of 1,1 of 3,0%,33%,0,1,0,0,0:00,0:23,11 of 30,17 of 35,7 of 8,3 of 3,5 of 10,0 of 0,19 of 42,18 of 34,4 of 6,0 of 0,0 of 0,2 of 4,aaec28fa3c0c576d,c8661e204c66f325,UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",win,Christian Rodriguez,Hyder Amil,1,0,20,23,1,0,1,0,Featherweight,SUB Guillotine Choke,1,3:43,Hyder Amil,11,3,0,"5' 9""",145 lbs.,"70""",switch,"may 28, 1990",Christian Rodriguez,13,4,0,"5' 7""",145 lbs.,"71""",orthodox,"dec 17, 1997"
L,W,Murtazali Magomedov,a52bc1e62cf0b7c6,d436f5d55156a521,Melsik Baghdasaryan,Murtazali Magomedov,3 Rnd (5-5-5),Chris Tognoni,"Twister From Back Control
      Scottish Twister",0,0,3 of 13,5 of 7,23%,71%,3 of 13,7 of 9,0 of 0,1 of 2,---,50%,0,1,0,0,0:00,0:27,0 of 9,3 of 5,3 of 3,0 of 0,0 of 1,2 of 2,3 of 13,5 of 5,0 of 0,0 of 0,0 of 0,0 of 2,e4849375d1949c74,c8661e204c66f325,UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",win,Murtazali Magomedov,Melsik Baghdasaryan,0,0,5,3,1,0,1,0,Featherweight,SUB Twister,1,1:17,Melsik Baghdasaryan,8,4,0,"5' 9""",145 lbs.,"70""",southpaw,"jan 28, 1992",Murtazali Magomedov,11,0,0,"5' 9""",145 lbs.,"70""",orthodox,"aug 26, 1999"
W,L,Vinicius Oliveira,18d01f7f8338ae72,8fd808923cffff82,Vinicius Oliveira,Andre Fili,3 Rnd (5-5-5),Herb Dean,Elbows to Head At Distance,1,0,105 of 152,40 of 113,69%,35%,105 of 152,40 of 113,0 of 1,0 of 1,0%,0%,0,0,0,0,0:17,0:00,47 of 90,31 of 104,28 of 31,9 of 9,30 of 31,0 of 0,89 of 134,38 of 110,10 of 12,2 of 3,6 of 6,0 of 0,571a3eabff5c7ba7,c8661e204c66f325,UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",win,Vinicius Oliveira,Andre Fili,1,0,105,40,0,0,0,0,Featherweight,KO/TKO Elbows,2,4:56,Vinicius Oliveira,24,4,0,"5' 9""",145 lbs.,"70""",switch,"nov 30, 1995",Andre Fili,25,14,0 (1 NC),"5' 11""",145 lbs.,"74""",orthodox,"jun 25, 1990"
L,W,Kevin Borjas,b1f21ce050035d58,34b96d52db1d26e6,Andre Lima,Kevin Borjas,3 Rnd (5-5-5),Kerry Hatley,Sal D'amato27 - 30.Adalaide Byrd28 - 29.Mike Bell28 - 29.,0,0,51 of 114,51 of 136,44%,37%,58 of 121,52 of 137,0 of 2,0 of 1,0%,0%,0,0,0,0,1:41,0:08,16 of 52,32 of 106,13 of 31,16 of 24,22 of 31,3 of 6,49 of 112,48 of 133,2 of 2,3 of 3,0 of 0,0 of 0,17d31249c9ab18af,c8661e204c66f325,UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",win,Kevin Borjas,Andre Lima,0,0,51,51,0,0,0,0,Flyweight,U-DEC,3,5:00,Andre Lima,11,1,0,"5' 7""",125 lbs.,"67""",orthodox,"feb 04, 1999",Kevin Borjas,11,5,0,"5' 5""",125 lbs.,"68""",orthodox,"dec 06, 1997"
W,L,Bia Mesquita,eff9074bc066f0f2,bd532e9a2b93870c,Bia Mesquita,Melissa Mullins,3 Rnd (5-5-5),Mike Beltran,Armbar From Guard,0,0,3 of 10,10 of 25,30%,40%,28 of 37,13 of 28,0 of 0,1 of 1,---,100%,1,0,0,0,0:12,1:27,2 of 7,8 of 23,1 of 2,2 of 2,0 of 1,0 of 0,3 of 10,8 of 22,0 of 0,2 of 2,0 of 0,0 of 1,c0980a613f24accd,c8661e204c66f325,UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",win,Bia Mesquita,Melissa Mullins,0,0,3,10,0,1,1,0,Women's Bantamweight,SUB Armbar,1,3:16,Bia Mesquita,8,0,0,"5' 4""",135 lbs.,"67""",orthodox,"apr 07, 1991",Melissa Mullins,7,3,0,"5' 7""",135 lbs.,"68""",orthodox,"jul 23, 1991"
L,W,Mitch Raposo,253076a23d03dcd0,0be6776db31d98ec,Allan Nascimento,Mitch Raposo,3 Rnd (5-5-5),Chris Tognoni,Eric Colon28 - 29.Sal D'amato29 - 28.Junichiro Kamijo28 - 29.,1,0,58 of 142,38 of 89,40%,42%,98 of 195,54 of 108,0 of 4,0 of 1,0%,0%,0,0,0,0,4:21,0:47,28 of 96,29 of 80,21 of 31,9 of 9,9 of 15,0 of 0,41 of 123,37 of 88,10 of 11,1 of 1,7 of 8,0 of 0,3b4803afa824fea3,c8661e204c66f325,UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",win,Mitch Raposo,Allan Nascimento,0,1,38,58,0,0,0,0,Flyweight,S-DEC,3,5:00,Allan Nascimento,22,7,0,"5' 8""",125 lbs.,"69""",orthodox,"sep 11, 1991",Mitch Raposo,11,3,0,"5' 5""",125 lbs.,"64""",switch,"oct 16, 1998"
W,L,Gaston Bolanos,96924b0019b3aff1,01c9e4013afce141,Gaston Bolanos,Michael Aswell Jr.,3 Rnd (5-5-5),Herb Dean,Adalaide Byrd28 - 29.Sal D'amato28 - 29.Ron McCarthy28 - 29.,0,0,87 of 193,105 of 252,45%,41%,94 of 202,115 of 267,1 of 2,0 of 3,50%,0%,0,0,0,0,0:22,1:06,35 of 120,86 of 226,34 of 49,18 of 24,18 of 24,1 of 2,86 of 190,95 of 237,1 of 3,9 of 11,0 of 0,1 of 4,8b809ba1880aded0,c8661e204c66f325,UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",win,Gaston Bolanos,Michael Aswell Jr.,0,0,87,105,1,0,0,0,Featherweight,U-DEC,3,5:00,Gaston Bolanos,9,5,0,"5' 7""",145 lbs.,"69""",orthodox,"sep 14, 1992",Michael Aswell Jr.,11,5,0,"5' 8""",145 lbs.,"69""",orthodox,"sep 27, 2000"
L,W,Levan Chokheli,9eed2bcc9e0b92af,a69a7120cf26669d,Leon Shahbazyan,Levan Chokheli,3 Rnd (5-5-5),Kerry Hatley,Punch to Body At Distance,0,1,0 of 1,6 of 11,0%,54%,0 of 1,6 of 11,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:01,0 of 0,3 of 8,0 of 1,1 of 1,0 of 0,2 of 2,0 of 1,6 of 8,0 of 0,0 of 0,0 of 0,0 of 3,6658fe4531c86674,c8661e204c66f325,UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",win,Levan Chokheli,Leon Shahbazyan,1,0,6,0,0,0,0,0,Welterweight,KO/TKO Punch,1,0:23,Leon Shahbazyan,12,5,0,"6' 4""",170 lbs.,"74""",orthodox,"nov 18, 1995",Levan Chokheli,15,3,0 (1 NC),"5' 11""",170 lbs.,"72""",orthodox,"oct 02, 1996"
