event_id,event_name,date,location,fight_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,name,id,kd,sig_str_landed,sig_str_atmpted,sig_str_acc,total_str_landed,total_str_atmpted,total_str_acc,td_landed,td_atmpted,td_acc,sub_att,ctrl,head_landed,head_atmpted,head_acc,body_landed,body_atmpted,body_acc,leg_landed,leg_atmpted,leg_acc,dist_landed,dist_atmpted,dist_acc,clinch_landed,clinch_atmpted,clinch_acc,ground_landed,ground_atmpted,ground_acc,landed_head_per,landed_body_per,landed_leg_per,landed_dist_per,landed_clinch_per,landed_ground_per,nick_name,wins,losses,draws,height,weight,reach,stance,dob,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg,winner,winner_id,sig_str_absorbed,td_defense,opponent_id,opponent_name,fight_number,days_since_last_fight,age_at_fight,win_flag_indicator,fight_time_min,sig_str_landed_per_min,sig_str_absorbed_per_min,td_acc_fight,is_debut,rolling_slpm_3,rolling_slpm_5,rolling_sapm_3,rolling_sapm_5,rolling_td_acc_3,rolling_td_acc_5,rolling_td_def_3,rolling_td_def_5,rolling_win_rate_3,rolling_win_rate_5
e4a9dbade7c7e1a7,UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,"Las Vegas, Nevada, USA",4e566db7d26df001,lightweight,0,KO/TKO,1,276,3.0,Keith Peterson,AJ Cunningham,d1053e55f00e53fe,0.0,36.0,75.0,48.0,36.0,77.0,47.0,0.0,0.0,,0.0,26.0,15.0,49.0,31.0,10.0,14.0,71.0,11.0,12.0,92.0,34.0,72.0,47.0,2.0,3.0,67.0,0.0,0.0,,41.0,27.0,30.0,94.0,5.0,0.0,The Savage,11,5,0,177.8,61.23,180.34,Orthodox,1994-09-07,4.22,29.0,6.31,48.0,0.0,0.0,46.0,0.5,Ludovit Klein,5b86d491d63890c5,60.0,0.33333333333333337,5b86d491d63890c5,Ludovit Klein,1,,29.48,0,4.6,7.82608695652174,13.043478260869566,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
39f62b833e4cf126,UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15,"Las Vegas, Nevada, USA",29d9c5a3f2b78903,bantamweight,0,Decision - Unanimous,3,300,3.0,Chris Tognoni,AJ Cunningham,d1053e55f00e53fe,0.0,16.0,52.0,30.0,19.0,55.0,35.0,0.0,0.0,,1.0,0.0,11.0,45.0,24.0,1.0,1.0,100.0,4.0,6.0,67.0,16.0,52.0,31.0,0.0,0.0,,0.0,0.0,,68.0,6.0,25.0,100.0,0.0,0.0,The Savage,11,5,0,177.8,61.23,180.34,Orthodox,1994-09-07,4.22,29.0,6.31,48.0,0.0,0.0,46.0,0.5,SuYoung You,a474aade8eb3a8f0,18.0,0.5,a474aade8eb3a8f0,SuYoung You,2,378.0,30.52,0,15.0,1.0666666666666667,1.2,0.0,0,7.83,7.83,13.04,13.04,0.0,0.0,0.33,0.33,0.0,0.0
cbb682f5fcc44bfc,UFC 271: Adesanya vs. Whittaker 2,2022-02-12,"Houston, Texas, USA",c16bda7548181613,middleweight,0,Decision - Unanimous,3,300,3.0,Herb Dean,AJ Dobson,009c4420727149ea,0.0,52.0,90.0,57.0,68.0,110.0,62.0,0.0,0.0,,0.0,27.0,41.0,79.0,52.0,6.0,6.0,100.0,5.0,5.0,100.0,44.0,78.0,56.0,5.0,9.0,56.0,3.0,3.0,100.0,78.0,11.0,9.0,84.0,9.0,5.0,,7,3,0,185.42,83.91,193.04,Orthodox,1992-01-18,4.29,46.0,5.31,46.0,1.67,75.0,65.0,0.3,Jacob Malkoun,d4270315cbcf2569,80.0,0.625,d4270315cbcf2569,Jacob Malkoun,1,,30.07,0,15.0,3.466666666666667,5.333333333333333,0.0,1,7.83,7.83,13.04,13.04,0.0,0.0,0.33,0.33,0.0,0.0
885e7f70dcac0007,UFC 280: Oliveira vs. Makhachev,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1b204fc28bb023e6,middleweight,0,Decision - Unanimous,3,300,3.0,Marc Goddard,AJ Dobson,009c4420727149ea,0.0,58.0,161.0,36.0,64.0,168.0,38.0,3.0,3.0,100.0,0.0,49.0,38.0,136.0,28.0,9.0,14.0,64.0,11.0,11.0,100.0,50.0,149.0,34.0,8.0,12.0,67.0,0.0,0.0,,65.0,15.0,18.0,86.0,13.0,0.0,,7,3,0,185.42,83.91,193.04,Orthodox,1992-01-18,4.29,46.0,5.31,46.0,1.67,75.0,65.0,0.3,Armen Petrosyan,369ea36e450ae62a,118.0,1.0,369ea36e450ae62a,Armen Petrosyan,2,252.0,30.76,0,15.0,3.8666666666666667,7.866666666666666,1.0,0,5.65,5.65,9.19,9.19,0.0,0.0,0.48,0.48,0.0,0.0
d2fa318f34d0aadc,UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,"Las Vegas, Nevada, USA",560a971c6ab8b854,middleweight,0,Decision - Unanimous,3,300,3.0,Herb Dean,AJ Dobson,009c4420727149ea,0.0,67.0,134.0,50.0,98.0,176.0,56.0,2.0,3.0,66.0,0.0,273.0,19.0,75.0,25.0,12.0,18.0,67.0,36.0,41.0,88.0,61.0,119.0,51.0,2.0,5.0,40.0,4.0,10.0,40.0,28.0,17.0,53.0,91.0,2.0,5.0,,7,3,0,185.42,83.91,193.04,Orthodox,1992-01-18,4.29,46.0,5.31,46.0,1.67,75.0,65.0,0.3,AJ Dobson,009c4420727149ea,53.0,1.0,6aae253467e8f9ce,Tafon Nchukwi,3,294.0,31.56,1,15.0,4.466666666666667,3.533333333333333,0.6666666666666666,0,3.67,5.05,6.6,8.75,0.5,0.33,0.81,0.65,0.0,0.0
79ff6545b0abc685,UFC Fight Night: Ribas vs. Namajunas,2024-03-23,"Las Vegas, Nevada, USA",d564e3a6c77d0c85,middleweight,0,KO/TKO,1,273,3.0,Mark Smith,AJ Dobson,009c4420727149ea,0.0,15.0,46.0,32.0,20.0,54.0,37.0,0.0,0.0,,0.0,75.0,7.0,36.0,19.0,2.0,2.0,100.0,6.0,8.0,75.0,12.0,43.0,28.0,3.0,3.0,100.0,0.0,0.0,,46.0,13.0,40.0,80.0,20.0,0.0,,7,3,0,185.42,83.91,193.04,Orthodox,1992-01-18,4.29,46.0,5.31,46.0,1.67,75.0,65.0,0.3,Edmen Shahbazyan,4144798612ef96e5,27.0,0.6666666666666667,4144798612ef96e5,Edmen Shahbazyan,4,224.0,32.18,0,4.55,3.296703296703297,5.934065934065934,0.0,0,3.93,4.91,5.58,7.44,0.56,0.42,0.88,0.74,0.33,0.25
1f9344211ca7fd60,UFC Fight Night: Santos vs. Ankalaev,2022-03-12,"Las Vegas, Nevada, USA",3b06c512abfa0494,welterweight,0,Decision - Unanimous,3,300,3.0,Herb Dean,AJ Fletcher,725b1abc9a39d873,0.0,34.0,64.0,53.0,87.0,124.0,70.0,4.0,6.0,66.0,2.0,342.0,21.0,49.0,43.0,2.0,4.0,50.0,11.0,11.0,100.0,30.0,58.0,52.0,0.0,1.0,0.0,4.0,5.0,80.0,61.0,5.0,32.0,88.0,0.0,11.0,The Ghost,10,3,0,177.8,77.11,170.18,Switch,1997-02-18,3.36,49.0,4.61,46.0,1.54,35.0,33.0,0.9,Matthew Semelsberger,4aa58269d0664b5b,40.0,0.0,4aa58269d0664b5b,Matthew Semelsberger,1,,25.06,0,15.0,2.2666666666666666,2.6666666666666665,0.6666666666666666,1,4.17,3.93,5.7,5.58,0.83,0.56,1.0,0.88,0.5,0.33
4f853e98886283cf,UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",4dac5258f22be059,welterweight,0,Decision - Unanimous,3,300,3.0,Mike Beltran,AJ Fletcher,725b1abc9a39d873,0.0,87.0,181.0,48.0,103.0,201.0,51.0,0.0,4.0,0.0,0.0,36.0,74.0,163.0,45.0,9.0,13.0,69.0,4.0,5.0,80.0,80.0,169.0,47.0,6.0,9.0,67.0,1.0,3.0,33.0,85.0,10.0,4.0,91.0,6.0,1.0,The Ghost,10,3,0,177.8,77.11,170.18,Switch,1997-02-18,3.36,49.0,4.61,46.0,1.54,35.0,33.0,0.9,Ange Loosa,1497e735d9f2560a,129.0,0.5,1497e735d9f2560a,Ange Loosa,2,161.0,25.5,0,15.0,5.8,8.6,0.0,0,3.37,3.52,3.1,4.85,0.67,0.58,0.5,0.66,0.5,0.25
f21a3d68fb9df387,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,"Las Vegas, Nevada, USA",435ba9b407b844ef,welterweight,0,Submission,2,97,3.0,Jacob Montalvo,AJ Fletcher,725b1abc9a39d873,0.0,7.0,17.0,41.0,23.0,35.0,66.0,0.0,0.0,,1.0,201.0,6.0,13.0,46.0,0.0,1.0,0.0,1.0,3.0,33.0,1.0,7.0,14.0,1.0,1.0,100.0,5.0,9.0,56.0,85.0,0.0,14.0,14.0,14.0,71.0,The Ghost,10,3,0,177.8,77.11,170.18,Switch,1997-02-18,3.36,49.0,4.61,46.0,1.54,35.0,33.0,0.9,AJ Fletcher,725b1abc9a39d873,6.0,0.0,40f3cb27fc7305a1,Themba Gorimbo,3,182.0,26.0,1,6.616666666666666,1.057934508816121,0.9068010075566751,0.0,0,4.03,4.1,5.63,5.67,0.33,0.58,0.25,0.62,0.0,0.25
c945adc22c2bfe8f,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,"Las Vegas, Nevada, USA",bf647be41de365e4,welterweight,0,Submission,2,272,3.0,Dan Miragliotta,AJ Fletcher,725b1abc9a39d873,0.0,25.0,51.0,49.0,29.0,57.0,51.0,0.0,2.0,0.0,0.0,33.0,6.0,26.0,23.0,6.0,9.0,67.0,13.0,16.0,81.0,20.0,41.0,49.0,5.0,9.0,56.0,0.0,1.0,0.0,24.0,24.0,52.0,80.0,20.0,0.0,The Ghost,10,3,0,177.8,77.11,170.18,Switch,1997-02-18,3.36,49.0,4.61,46.0,1.54,35.0,33.0,0.9,Bryan Battle,f626118b6da0e020,45.0,0.5,f626118b6da0e020,Bryan Battle,4,217.0,26.59,0,9.533333333333333,2.6223776223776225,4.72027972027972,0.0,0,3.04,3.4,4.06,3.93,0.22,0.33,0.17,0.38,0.33,0.5
